"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#COVID #TEC #QUARANTINEFLO TEC - Quarantine Flo https://t.co/60qTk4ovaA via @YouTube",FALSE,0,NA,2020-05-05 23:57:35,FALSE,NA,"1257821775137845249",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ExpensiveHipHop",0,FALSE,FALSE,NA,NA
"2","The #US aircraft manufacturer @BoeingAirplanes is to shed 10% of its 160,000 workforce by the end of this year and https://t.co/5doPB2gu7B",FALSE,0,NA,2020-05-05 23:57:31,TRUE,NA,"1257821760579403777",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","muhammad_fall",0,FALSE,FALSE,NA,NA
"3","#Covid@GovChristie
Lets be Crystal clear. The GOP feels that lives lost is par for the course as long as its blac https://t.co/hL0HicaH2u",FALSE,0,NA,2020-05-05 23:57:22,TRUE,NA,"1257821724470439937",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","keepyourhabitat",0,FALSE,FALSE,NA,NA
"4","Very, very good news. https://t.co/ShAO2NMPMM
 #NorthVan #COVID",FALSE,0,NA,2020-05-05 23:57:18,FALSE,NA,"1257821705008906241",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jordanback",1,FALSE,FALSE,NA,NA
"5","Secretrio de vigilncia em Sade, Wanderson Oliveira, pede que jovens tomem cuidado porque eles tambm esto sujei https://t.co/YGlt424is6",FALSE,0,NA,2020-05-05 23:57:10,TRUE,NA,"1257821673014931457",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","avozdobrasil",0,FALSE,FALSE,NA,NA
"6","Plenty of social distancing and other safety precautions being taken when you #DonateBlood Donors are essential tod https://t.co/hw7nr2yR5y",FALSE,0,NA,2020-05-05 23:57:04,TRUE,NA,"1257821646204702720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VitalantBayArea",0,FALSE,FALSE,NA,NA
"7","#covid, #Musafa      https://t.co/ZeL1iP2II7",FALSE,0,NA,2020-05-05 23:56:59,FALSE,NA,"1257821627640713216",NA,"<a href=""http://www.madhyamam.com"" rel=""nofollow"">madhyamam tweets</a>","madhyamam",0,FALSE,FALSE,NA,NA
"8","@Jane Jackson Professional Career Coach extraordinaire!
Discuss issues of today and what it means for your business https://t.co/QNfwJfKvKi",FALSE,0,"Jane",2020-05-05 23:56:51,TRUE,NA,"1257821590923902981","75579786","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","AngelaVIVO",0,FALSE,FALSE,NA,NA
"9","No solo pasa en Mxico! ""A veces la vocacin no es suficiente"": enfermera que enfrenta al #covid en medio del desa https://t.co/XuDz0L5ooA",FALSE,0,NA,2020-05-05 23:56:45,TRUE,NA,"1257821565271629826",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","lasillarota",0,FALSE,FALSE,NA,NA
"10","COVIDcovid19#pcr 
Q

A https://t.co/EaMbN0th2D",FALSE,0,NA,2020-05-05 23:56:42,TRUE,NA,"1257821553279918080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","weZlh5GG7DQaAwA",0,FALSE,FALSE,NA,NA
"11","La tarea de @HLGatell de aplanar la curva del #COVID-19...y afirma que se est logrando... https://t.co/YsR5CjajuF",FALSE,0,NA,2020-05-05 23:56:31,FALSE,NA,"1257821506962198528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bourjack",0,FALSE,FALSE,NA,NA
"12","Despite underreporting #COVID-19 numbers in #NJ Mon, Tues #s not awful. Only Salem w/ double digit case inc (again) https://t.co/iPgDaUweKj",FALSE,0,NA,2020-05-05 23:56:28,TRUE,NA,"1257821498104000514",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","colleenodea",0,FALSE,FALSE,NA,NA
"13","#Commercio si ripartir in sicurezza e in modo intelligente https://t.co/ylgJATBwaI #coronavirus #covid",FALSE,0,NA,2020-05-05 23:56:22,FALSE,NA,"1257821472820690945",NA,"<a href=""https://revive.social/"" rel=""nofollow"">Revive Social App</a>","Liveinvenice",0,FALSE,FALSE,NA,NA
"14","Cabbage Hatch 2020 Supper https://t.co/zWqdaR7rZt via @YouTube NEW MUSIC VIDEO!!! #music #film# #musicvideo https://t.co/nWkFMJrP0f",FALSE,0,NA,2020-05-05 23:56:10,TRUE,NA,"1257821421272694785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CabbageHatch",0,FALSE,FALSE,NA,NA
"15","#CoronaVirus- Emergency Hygiene Supplies to Communities in #Haiti #Covid19 #Covid-19 #stcharlesfunds #Monsterfunder https://t.co/tgqv2hUxn9",FALSE,0,NA,2020-05-05 23:56:07,TRUE,NA,"1257821407473434633",NA,"<a href=""https://www.newsly.today"" rel=""nofollow"">Pinix</a>","MonsterFunder",0,FALSE,FALSE,NA,NA
"16","Asa NU, @ Ziarul FinanciarRO...  ~ V dai singuri de gol, din ce n ce mai mult i mai prost.   https://t.co/VO7rEI2G0V",FALSE,0,"ishkirawind",2020-05-05 23:55:49,TRUE,"1257818587970113537","1257821331334234114","1056555100569825282","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ishkirawind",0,FALSE,FALSE,NA,NA
"17","#EnVivo | #NuevaEsparta es el primer estado de pas con 117 casos por contagio de #Covid-19, as lo dijo la Vicepre https://t.co/4nZ5OBhnQv",FALSE,0,NA,2020-05-05 23:55:44,TRUE,NA,"1257821312657039360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","antvvenezuela",0,FALSE,FALSE,NA,NA
"18","Besttigte Personen mit covid-19 in Germany: 167007 Genesen: 135100 Gestorben: 6993  -  #covid19 #coronavirus https://t.co/mzWVBDZV1e",FALSE,0,NA,2020-05-05 23:55:42,TRUE,NA,"1257821303114993664",NA,"<a href=""http://www.wenzlaff.de"" rel=""nofollow"">TWUsb-NodeRED</a>","twusb",0,FALSE,FALSE,NA,NA
"19","Por desobediencia de ciudadanos, Alcalde Tete comprar atades y lote para sepultar a fallecidos por #Covid... https://t.co/GB7TB7L6lV",FALSE,0,NA,2020-05-05 23:55:42,TRUE,NA,"1257821301974204417",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dracamandaca",0,FALSE,FALSE,NA,NA
"20","@apple cest trop des radins, ils font jamais des promotions, l pour le #Covid jai demand  @tim_cook un iPhone mme pas il rpond ",FALSE,0,"Apple",2020-05-05 23:55:29,FALSE,NA,"1257821248618405889","380749300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","melissa_elsr",0,FALSE,FALSE,NA,NA
"21","Check out our roundup on #COVID-19 Pandemic: Journalism, Inclusion and Diverse Perspectives, https://t.co/oeE24YWB4g",FALSE,0,NA,2020-05-05 23:55:20,TRUE,NA,"1257821212828479488",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MediaDiversity",0,FALSE,FALSE,NA,NA
"22","Our Goal is to become the #1 Mobile car Detail service provider in every single state! We have already proven our q https://t.co/ZOQOVkZZOc",FALSE,0,NA,2020-05-05 23:55:20,TRUE,NA,"1257821210223747072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WingsDetailing",0,FALSE,FALSE,NA,NA
"23","40     Are you using #socialmedia to meet new people during the #COVID-19 #pandemic? Read my #blogpost to find https://t.co/k0EFT0MHW9",FALSE,0,NA,2020-05-05 23:55:04,TRUE,NA,"1257821145350488065",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","conpsweeney",1,FALSE,FALSE,NA,NA
"24","Chile: ATI recibe visita del ministro de Defensa, quien reconoci medidas preventivas por #Covid-19 en el puerto https://t.co/xoSNCl3JNN",FALSE,0,NA,2020-05-05 23:55:04,TRUE,NA,"1257821143446192129",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","mundomaritimo",0,FALSE,FALSE,NA,NA
"25","@BeatrizGMuller @ONU_es @WHO Antes de hacer un comentario estpido, debera de investigar que ya se est haciendo e https://t.co/cBZ5N7e5jV",FALSE,0,"BeatrizGMuller",2020-05-05 23:55:03,TRUE,"1257632418661572608","1257821139008618497","994266261306597376","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bautist63402376",0,FALSE,FALSE,NA,NA
"26","#hydroxychloroquine #Covid-19 @realDonaldTrump @DonaldJTrumpJr @seanhannity @RealJamesWoods @RealEricCarmen   Oh my https://t.co/7jfznONJSP",FALSE,0,NA,2020-05-05 23:54:50,TRUE,NA,"1257821084734435329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alaskacryptogi1",0,FALSE,FALSE,NA,NA
"27","PAK Fouj ko Salam by Dr. Kiran Shahbaz |#covid-19| Urdu/Hindi https://t.co/ZqqaFSS2JL via @YouTube",FALSE,0,NA,2020-05-05 23:54:40,FALSE,NA,"1257821043479085056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dr_KIRAN_",0,FALSE,FALSE,NA,NA
"28","rise to improper balance in containing the #Corona where you cannot help controlling it, no matter how many Hospita https://t.co/C4Qn0m3eOn",FALSE,0,"azharparvaiz_",2020-05-05 23:54:37,TRUE,"1257820137996128270","1257821031760310273","280360705","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","azharparvaiz_",0,FALSE,FALSE,NA,NA
"29","#MXICO #SALUD Se acerca el Da D; mircoles 6 de mayo considerada la fecha clave para el descenso de casos por https://t.co/gqtOqcwl7u",FALSE,0,NA,2020-05-05 23:54:33,TRUE,NA,"1257821014219608064",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PALCONOTICIAS",0,FALSE,FALSE,NA,NA
"30","#Covid-19 | OPS pide cautela a la hora de relajar la cuarentena en Amrica 

La Organizacin Panamericana de la Sal https://t.co/muMCnrvsv5",FALSE,0,NA,2020-05-05 23:54:18,TRUE,NA,"1257820951045197824",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LaVerdadVargas",1,FALSE,FALSE,NA,NA
"31","Nearly 60k MORE than @BarackObama. This isn't a competition but I sure wish @realDonaldTrump would compete. https://t.co/ovDgLhiLkE",FALSE,0,NA,2020-05-05 23:54:15,TRUE,NA,"1257820939045109760",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","topimpanation",0,FALSE,FALSE,NA,NA
"32","Please consider the incredibly dedicated staff and volunteers @SOLVEinOregon who have been keeping #Oregon clean an https://t.co/L2zA3hcc7x",FALSE,0,NA,2020-05-05 23:54:13,TRUE,NA,"1257820928043450369",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NickMallos",0,FALSE,FALSE,NA,NA
"33","For the 70,000 Americans that will die over the next 3-4 months because some U.S. states might be opening things up https://t.co/Ru6HQXyuP2",FALSE,0,NA,2020-05-05 23:54:07,TRUE,NA,"1257820902839984128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rskghl",0,FALSE,FALSE,NA,NA
"34","490.851 pruebas para detectar la #Covid-19 se han realizado en #Venezuela hasta el momento que equivale a 16.362 pr https://t.co/HobWBwqIAp",FALSE,2,NA,2020-05-05 23:53:47,TRUE,NA,"1257820820023529473",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lamarchena7",1,FALSE,FALSE,NA,NA
"35","So, Ive not yet been out of work a month, and it feels like an eternity #COVID #pandemic #jobloss #unemployment",FALSE,0,NA,2020-05-05 23:53:44,FALSE,NA,"1257820808505933824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WOsrin",0,FALSE,FALSE,NA,NA
"36","Football linemen lost weight https://t.co/1otxNiYNEH #CoVID",FALSE,0,NA,2020-05-05 23:53:43,FALSE,NA,"1257820803376144385",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bridges2italy",0,FALSE,FALSE,NA,NA
"37","Flattening the curve is not the endgame. The endgame is the successful discovery of a coronavirus vaccine. Preventi https://t.co/0cI8Ky4bXa",FALSE,0,NA,2020-05-05 23:53:38,TRUE,NA,"1257820784463974400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarahjchong",0,FALSE,FALSE,NA,NA
"38","Disabled people will not accept or tolerate relegation.

Not in the past.
Not now.
Not in a pandemic.
Not ever.

Di https://t.co/v8DCFMjWLy",FALSE,6,NA,2020-05-05 23:53:31,TRUE,NA,"1257820754915328005",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GHMansfield",1,FALSE,FALSE,NA,NA
"39","#COVID19 #covidph #COVID__19 #covid #doh https://t.co/eaCeUPrqwm",FALSE,0,NA,2020-05-05 23:53:31,FALSE,NA,"1257820751714873344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NvivoPhil",0,FALSE,FALSE,NA,NA
"40","O Secretrio de vigilncia em Sade, Wanderson Oliveira, pede que jovens tomem cuidado porque eles tambm esto suj https://t.co/O7sNEuPjkI",FALSE,29,NA,2020-05-05 23:53:30,TRUE,NA,"1257820750096015362",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","tvbrasilgov",7,FALSE,FALSE,NA,NA
"41","Why does @realDonaldTrump refuse to wear a mask when his #covid task force recommends them?",FALSE,0,NA,2020-05-05 23:53:25,FALSE,NA,"1257820727547359232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","camerongrey",0,FALSE,FALSE,NA,NA
"42","El equipo de Yale informa del primer caso de infeccin placentaria por #coronavirus en una mujer en el segundo trim https://t.co/nlEtNM4RLl",FALSE,0,NA,2020-05-05 23:53:11,TRUE,NA,"1257820669351464963",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Prodigi0_1",0,FALSE,FALSE,NA,NA
"43","#covid, #uae     https://t.co/c4QUG4oMwn",FALSE,0,NA,2020-05-05 23:53:07,FALSE,NA,"1257820654063087616",NA,"<a href=""http://www.madhyamam.com"" rel=""nofollow"">madhyamam tweets</a>","madhyamam",0,FALSE,FALSE,NA,NA
"44","#Paragominas tem hoje 52 casos confirmados de #Covid-19 - Clique para ver  https://t.co/kDOiMHz6cx",FALSE,0,NA,2020-05-05 23:53:05,FALSE,NA,"1257820643543916547",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CelliaSantos",0,FALSE,FALSE,NA,NA
"45","Today esp. thanks to our corp. donors for supporting #covid fund: @FLBlue @BankofAmerica @BJsWholesale @Chase https://t.co/V3MzvIzmos",FALSE,3,NA,2020-05-05 23:53:04,TRUE,NA,"1257820640943509504",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mcalonso305",0,FALSE,FALSE,NA,NA
"46","More #Coronavirus Fakery: Virginia Officials Pad Their #COVID Numbers - Admit to Counting Same Person Three Times i https://t.co/Llh5OJXAOX",FALSE,0,NA,2020-05-05 23:53:04,TRUE,NA,"1257820638338826240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bossina8",0,FALSE,FALSE,NA,NA
"47","Great article on staying productive during #COVID-19. https://t.co/rUir0jGUUJ",FALSE,0,NA,2020-05-05 23:53:00,FALSE,NA,"1257820625680379906",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","ESC_iPSC_News",0,FALSE,FALSE,NA,NA
"48","Ella es Vernica Maldonado est al frente del taller Dramaturgia en lnea 4. emisin.

Recuerda que este tall https://t.co/RDa2XC4NKJ",FALSE,0,NA,2020-05-05 23:53:00,TRUE,NA,"1257820622438174721",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Helenico",1,FALSE,FALSE,NA,NA
"49"," NetSquared Guatemala: Revision de #agendadigitalgt #covid-19 https://t.co/DuxLW2ozKF @mzaghi @campus_tec https://t.co/S1FZYvjndn",FALSE,0,NA,2020-05-05 23:52:59,TRUE,NA,"1257820620823429120",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","NetSquared",0,FALSE,FALSE,NA,NA
"50","En el nuevo reporte aparece Linares, primer caso confirmado de #Covid-19 y Nario llega a un total de 249 casos, do https://t.co/TrzmQfitzF",FALSE,0,"paulocesarpaz",2020-05-05 23:52:56,TRUE,"1257819696155578374","1257820608076922880","102740048","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulocesarpaz",0,FALSE,FALSE,NA,NA
